GEOID,COUNTY,POP_TOT,MALE_POP,FEMALE_POP,GDP,DEGREE_TOT,BACHELOR,MASTER,PROFFE,DOCTOR,TOT_NO_INS,MALE_INS,FEMALE_INS,BOTH_INS,TOT_POV,MALE_POV,FEMALE_POV,TOT_COMM,OTHER_COMM,preciMax,maxTemp,PER_PROF,PER_POV,POP_GRAD,PER_NO_INS,PER_COMM,PER_MALE
01001,"Autauga County, Alabama",55036,26899,28137,27824,36757,5316,3058,426,376,54170,2171,2585,4756,7483,3143,4340,24325,280,10.76,91.8,7.013591104004652,13.596554982193473,3860,98.42648448288394,44.19834290282724,0.4887528163383967
01003,"Baldwin County, Alabama",203360,99527,103833,29364,143022,29237,10714,2885,1132,200929,11841,9831,21672,23728,10271,13457,87837,828,15.8,90.3,7.243804091266719,11.667977970102282,14731,98.80458300550747,43.19285995279308,0.4894128638867034
01005,"Barbour County, Alabama",26201,13976,12225,17561,18434,1403,656,90,69,23326,1676,1196,2872,6332,2675,3657,8683,98,11.84,92.1,3.1105682989198886,24.16701652608679,815,89.02713636884089,33.139956490210295,0.5334147551620168
01007,"Bibb County, Alabama",22580,12251,10329,20911,15859,1289,617,92,99,20553,881,784,1665,3133,1395,1738,8024,125,11.39,90.8,3.578387953941541,13.87511071744907,808,91.02302922940656,35.53587245349867,0.5425597874224978
01009,"Blount County, Alabama",57667,28490,29177,22021,39475,3416,1378,216,162,57207,3510,2800,6310,8919,4116,4803,21230,64,9.46,89.7,3.0450691036468,15.466384587372326,1756,99.20231674961417,36.81481609932891,0.4940433870324449
01011,"Bullock County, Alabama",10478,5616,4862,20856,7377,485,334,115,56,10113,923,502,1425,2852,1130,1722,4290,75,12.07,91.4,4.819622065279633,27.218934911242602,505,96.51651078450085,40.94292803970223,0.5359801488833746
01013,"Butler County, Alabama",20126,9416,10710,19004,13958,1342,667,132,112,19832,1025,1227,2252,4835,1933,2902,7623,72,12.19,91,4.526483156116466,24.02365099870814,911,98.5392030209679,37.87637881347511,0.4678525290668787
01015,"Calhoun County, Alabama",115527,55593,59934,23638,78975,8092,4284,997,740,113964,6324,5569,11893,20940,8670,12270,46289,404,7.6,90.3,5.211768677452024,18.125632968916356,6021,98.64706951621699,40.067689804115055,0.4812121841647407
01017,"Chambers County, Alabama",33895,16320,17575,22002,23698,2131,713,273,41,33513,2070,2012,4082,6288,2684,3604,14241,68,10.7,89.9,3.029945419678419,18.55140876235433,1027,98.87299011653636,42.01504646703054,0.4814869449771353
01019,"Cherokee County, Alabama",25855,12862,12993,23010,18797,1237,710,280,117,25561,1277,1028,2305,4104,1970,2134,9731,25,7.82,89.8,4.281570295880874,15.873138657899826,1107,98.86288918971185,37.63682073099981,0.49746664088184106
01021,"Chilton County, Alabama",43805,21554,22251,23368,29697,2809,1268,289,118,43473,3453,2975,6428,8392,3792,4600,17386,302,11.03,90.4,3.8237644104554276,19.15763040748773,1675,99.24209565118137,39.689533158315264,0.4920442871818286
01023,"Choctaw County, Alabama",13188,6277,6911,20994,9449,745,276,45,34,13060,751,681,1432,2903,1260,1643,4230,47,13.63,91.1,2.691841067637246,22.012435547467394,355,99.029420685471635,32.074613284804364,0.4759629966636336
01025,"Clarke County, Alabama",24625,11649,12976,20765,16921,1422,579,85,107,24341,1250,1396,2646,6108,2448,3660,7805,195,14.82,90.6,3.130964467005076,24.804060913705584,771,98.84670050761422,31.695431472081218,0.47305583756345176
01027,"Clay County, Alabama",13407,6471,6936,21330,9455,562,317,45,46,13153,876,855,1731,2493,1013,1480,5402,31,11.13,89.2,3.0431863951667038,18.594763929290668,408,98.10546729320504,40.2923845752219,0.48265831282166033
01029,"Cleburne County, Alabama",14939,7367,7572,20873,10387,807,318,120,38,14758,1094,1036,2130,2800,1180,1620,5469,7,8.51,89.4,3.186290916393333,18.742887743490193,476,98.78840618515295,36.60887609612424,0.49313876430818665
01031,"Coffee County, Alabama",51073,25225,25848,26216,34736,5111,2193,307,266,49425,2618,2569,5187,8122,3516,4606,22159,196,12.84,91.4,5.415777416638929,15.902727468525445,2766,96.77324613788107,43.3869167661974,0.4939008869657157
01033,"Colbert County, Alabama",54435,26143,28292,23675,38423,4403,2297,331,176,53993,2457,2200,4657,9056,3832,5224,21809,153,7.53,90.4,5.151097639386424,16.636355286121063,2804,99.18802241205107,40.06429686782401,0.48026086157802883
01035,"Conecuh County, Alabama",12649,6040,6609,16337,8772,458,267,30,13,12603,962,1021,1983,3316,1420,1896,3897,2,13.14,91,2.450786623448494,26.21551110759744,310,99.63633488813345,30.808759585738002,0.477508103407384
01037,"Coosa County, Alabama",10955,5474,5481,20342,8117,611,255,12,14,10563,549,510,1059,1513,675,838,3750,21,12.3,90.3,2.565038795070744,13.811045184847101,281,96.42172523961662,34.230944774075766,0.4996805111821086
01039,"Covington County, Alabama",37519,18133,19386,22431,26416,2740,1028,265,66,36970,2347,2002,4349,6491,2845,3646,14532,165,14.71,91.2,3.6221647698499426,17.300567712359072,1359,98.53674138436526,38.732375596364506,0.4833017937578294
01041,"Crenshaw County, Alabama",13866,6786,7080,21580,9588,1143,377,21,21,13666,787,672,1459,2399,1060,1339,5611,36,12.42,91,3.021779893264099,17.301312563103995,419,98.55762296264244,40.46588778306649,0.4893985287754219
01043,"Cullman County, Alabama",81703,40223,41480,21857,56720,5409,2206,634,208,80867,5372,5486,10858,13157,6031,7126,31603,171,8.3,89.4,3.7305851682312765,16.10344785381198,3048,98.97678175831977,38.68034221509614,0.49230750400842077
01045,"Dale County, Alabama",49393,24524,24869,23194,33288,3688,1520,270,109,46471,2934,2803,5737,9441,4143,5298,20282,210,12.69,91.7,3.844674346567327,19.114044500232826,1899,94.08418196910493,41.06249873463851,0.4965076022918227
