State,Imported cases
Washington,44
Oregon,21
California,125
Idaho,3
Nevada,7
Utah,9
Arizona,40
Montana,5
Wyoming,5
Colorado,28
New Mexico,3
North Dakota,7
South Dakota,4
Nebraska,6
Kansas,11
Oklahoma,8
Texas,170
Louisiana,14
Arkansas,5
Missouri,20
Iowa,23
Minnesota,66
Wisconsin,21
Illinois,65
Michigan,46
New York,74
Maine,9
Indiana,18
Ohio,63
Pennsylvania,84
Kentuky,17
West Virginia,2
Virginia,75
Tennessee,26
North Carolina,52
Mississippi,8
Alabama,9
Georgia,69
South Carolina,15
Florida,79
Connecticut,17
Washington D.C.,25
Delaware,14
Massachusetts,95
Maryland,182
New Hampshire,14
New Jersey,86
New York City,265
Rhode Island,12
Vermont,6
