GEOID,COUNTY,POP_TOT,MALE_POP,FEMALE_POP,GDP,DEGREE_TOT,BACHELOR,MASTER,PROFFE,DOCTOR,TOT_NO_INS,MALE_INS,FEMALE_INS,BOTH_INS,TOT_POV,MALE_POV,FEMALE_POV,TOT_COMM,OTHER_COMM
29229,"Wright County, Missouri",18378,9003,9375,19805,12416,811,400,90,89,18184,1799,1556,3355,4560,2121,2439,6494,105
29047,"Clay County, Missouri",233135,114237,118898,31953,155930,33780,12357,2535,1033,231632,11299,9828,21127,20867,9412,11455,118872,792
29065,"Dent County, Missouri",15578,7764,7814,20908,10914,872,431,48,21,15400,1589,1239,2828,3426,1543,1883,5768,151
29195,"Saline County, Missouri",23214,11587,11627,21729,15127,1761,865,143,82,22756,1048,1059,2107,3748,1759,1989,10520,136
29227,"Worth County, Missouri",2061,984,1077,22961,1500,161,64,26,9,2001,122,111,233,262,103,159,970,1
29079,"Grundy County, Missouri",10231,4950,5281,22014,6870,763,392,89,39,10050,911,743,1654,1975,911,1064,4354,60
29141,"Morgan County, Missouri",20182,10136,10046,20055,14402,1158,404,104,25,19847,2420,2373,4793,4798,2421,2377,6961,258
29179,"Reynolds County, Missouri",6530,3374,3156,21593,4745,305,117,8,3,6385,400,431,831,1245,625,620,2392,47
29189,"St. Louis County, Missouri",1000560,474388,526172,38081,687472,169996,85313,22202,13854,988628,42118,38709,80827,100613,42309,58304,486100,3221
29209,"Stone County, Missouri",31197,15297,15900,26052,23805,2757,943,185,128,30890,2063,2154,4217,4139,1808,2331,12015,30
29009,"Barry County, Missouri",35716,17958,17758,20840,24688,2111,866,137,49,35416,3525,2883,6408,7876,3596,4280,13885,149
29019,"Boone County, Missouri",172773,83740,89033,28495,101676,26549,12780,3824,4381,171399,7545,6232,13777,31461,14160,17301,89093,607
29051,"Cole County, Missouri",76603,38731,37872,27559,51995,10752,4317,1011,423,72589,3447,3203,6650,9067,4299,4768,36044,352
29055,"Crawford County, Missouri",24545,12098,12447,20799,16873,1347,567,74,123,24253,1930,1899,3829,5166,2374,2792,9187,40
29093,"Iron County, Missouri",10220,5071,5149,19414,7259,504,255,18,49,9883,852,722,1574,2124,1098,1026,3714,59
29117,"Livingston County, Missouri",15057,6773,8284,22248,10682,1450,555,98,9,13872,987,897,1884,2463,1059,1404,6571,68
29135,"Moniteau County, Missouri",15840,8295,7545,21305,10584,1476,370,51,38,14490,1087,1089,2176,1779,851,928,6718,115
29155,"Pemiscot County, Missouri",17599,8318,9281,18883,11387,869,391,28,40,17421,1333,1462,2795,5036,2063,2973,6358,46
29159,"Pettis County, Missouri",42193,20704,21489,22304,27875,3165,1116,326,196,41436,3223,2780,6003,7000,3034,3966,18521,56
29203,"Shannon County, Missouri",8256,4056,4200,17903,5766,585,224,39,19,8191,747,646,1393,1831,781,1050,3110,65
29175,"Randolph County, Missouri",25081,13155,11926,19984,17167,1599,640,115,117,23025,1311,1270,2581,4025,1841,2184,9559,44
29069,"Dunklin County, Missouri",31271,15043,16228,18878,20521,1407,600,280,62,30587,2578,2551,5129,8355,3744,4611,11341,92
