GEOID,NAME,B01003_001E,C17002_001E,B23025_005E,B15003_016E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B25024_001E,B25033_001E,B25014_001E,B25044_001E,POV,UNEMP,PCI,NOHSDP,SNGPNT,MUNIT,MOBILE,CROWD,NOVEH,GROUPQ,MINORITY,NTVAMRCN,Occurrence
04013,"Maricopa County, Arizona",4367186,4308734,111477,64841,631052,272368,62399,40277,1794248,4312788,1632151,1632151,0.12044164248709714,0.04985146564480635,37570,0.08943289323072467,0.353105933001206,0.15291643072752484,0.03996857717096226,0.04388932151498238,0.052997547408297395,0.01245607583464501,0.4623716507609248,0.018822646894361725,1
06001,"Alameda County, California",1673133,1646476,46498,26910,337847,181206,36650,36967,617045,1641866,581683,581683,0.08913764913670166,0.050483084182263716,53815,0.0874153902080892,0.25341576563081586,0.22399662909512272,0.011251222694178453,0.07723622660452514,0.08938201735309438,0.018687695479080266,0.701320815500023,0.007445313672015315,1
06013,"Contra Costa County, California",1161643,1152417,35366,19364,218293,93424,25108,17836,421239,1152189,405106,405106,0.08202152519443917,0.058383628943858214,53656,0.07850736627661425,0.2700009067577104,0.13135535883429597,0.014483734873358451,0.053223107038651615,0.05172226528365415,0.008138472835458054,0.5837628255841081,0.006720653419337955,1
06037,"Los Angeles County, California",10019635,9861892,367715,212201,1530075,553854,175089,97554,3578801,9837123,3342811,3342811,0.1385681368240496,0.07000432345209087,37924,0.16891587635532246,0.3761510233823858,0.2733429436283269,0.016185626630875714,0.11140414459567113,0.08609729954819462,0.01821543399535013,0.7454166743598943,0.00991293595026166,1
06059,"Orange County, California",3182923,3145848,91539,59643,585008,233094,67813,39449,1121753,3140074,1057592,1057592,0.09895392275787006,0.05421738126121644,46099,0.1067440685602975,0.2654619143620332,0.19623838759513013,0.026228362771068454,0.08654660776556555,0.045496751110068914,0.013462154126882743,0.6095648559515892,0.0058377158354129205,1
06067,"Sacramento County, California",1571767,1550537,51448,27970,221577,80182,27086,12860,583858,1548187,559036,559036,0.132592772697459,0.06560270122769167,36152,0.09315694208135561,0.3461370346661553,0.1324911194160224,0.01899189180635156,0.05583003599052655,0.06250581357908971,0.01500222361202392,0.5710859179509431,0.006656839086200435,1
06071,"San Bernardino County, California",2171071,2117955,75447,51507,197308,77272,16492,10819,728674,2122241,651743,651743,0.14296715463737425,0.07467937074808048,28443,0.15156648999104283,0.38243013285001864,0.10256438407298737,0.046566813099925976,0.0881927385487838,0.04664722137406923,0.022491203650180026,0.7341966246152245,0.010764733166257576,1
06073,"San Diego County, California",3296317,3213232,110391,50517,552537,237251,64813,51854,1221613,3206098,1139899,1139899,0.10719985360534191,0.06557940923818316,42696,0.0944094600459019,0.2942729951244607,0.2188393541980971,0.03109761460816232,0.06928947213744376,0.054025839131361636,0.027369637082841243,0.5585460985700101,0.007995286861063423,1
06075,"San Francisco County, California",865933,852231,28573,13988,243795,110417,35420,20420,404720,846760,361222,361222,0.10311054162545132,0.052866460058282064,77267,0.09189382976592564,0.25342668907683874,0.38538001581340187,0.00338702820161557,0.06749865733537824,0.30574826560951435,0.02214143588476245,0.6084570053341309,0.00486411766268291,1
06085,"Santa Clara County, California",1932022,1901844,46957,28358,375482,258731,39036,60701,683510,1896727,646847,646847,0.06654120947880057,0.04452060963758326,65052,0.08711163415277623,0.22503515829208012,0.22500475486825358,0.030048077556759617,0.07850233517354181,0.05400040504168683,0.01826842551482333,0.7014050564641603,0.0061577973749781315,1
08005,"Arapahoe County, Colorado",651621,645068,16779,6929,124297,54860,12101,7315,259291,646281,247251,247251,0.0770042848195849,0.04560799791245352,45046,0.06378159168309738,0.29515977251339964,0.22898596557535741,0.009625843866677189,0.029637898330037087,0.04829100792312266,0.008194947676640255,0.4151416237352694,0.006756995247237274,1
08031,"Denver County, Colorado",706799,694983,19715,7306,164516,71685,23116,10717,335131,693305,313926,313926,0.11600283747947791,0.04583647202150118,50642,0.08546503146244444,0.3318298127386871,0.38017073920347566,0.005975724969530005,0.03059956805106936,0.09819830151054706,0.01909170782641175,0.46026522391797386,0.008232892236689639,1
09001,"Fairfield County, Connecticut",956446,939754,32884,9764,177060,106092,27283,11894,377249,938888,349443,349443,0.09194746710309294,0.06351634555024385,61651,0.0831513889355413,0.2697467540568292,0.1546909335743766,0.0025604757969001626,0.028445268613192996,0.07406930457900143,0.018357544492841205,0.40227467102167813,0.0022740436992783703,1
09003,"Hartford County, Connecticut",898636,878283,28004,9745,137915,80194,19010,9475,384270,874601,356529,356529,0.10946243978307675,0.05810693884495756,43642,0.08144155092224392,0.3560887025983146,0.14530928774039087,0.0038131673757519145,0.017123431754499634,0.09926822222035234,0.02674609074196894,0.40982110665497484,0.0027630764848058614,1
09009,"New Haven County, Connecticut",864751,838405,31105,9832,117422,71725,19069,13320,368720,836394,336400,336400,0.11472498374890416,0.06706236444153145,41192,0.08050129691387431,0.39119538040242885,0.1400032545020612,0.0032341217177550294,0.021346611177170037,0.10905469678953626,0.03279209853472271,0.3920585232049457,0.0017646698298122811,1
10003,"New Castle County, Delaware",567769,550455,17890,5783,84671,45160,8344,9519,232162,551133,218002,218002,0.10584879781271857,0.05945714200253249,41428,0.0615611073118274,0.37936773488900255,0.144984967393458,0.020494145696229402,0.014834726286914799,0.06722415390684489,0.029300648679304434,0.4451722443458519,0.0019902460331578512,1
11001,"District of Columbia, District of Columbia",683154,651618,28493,5869,124285,106838,47536,20810,344306,645897,310104,310104,0.15441255459487,0.07079709784823336,63793,0.06574388078552307,0.5004186102140892,0.4758673970247396,8.778489449556199e-4,0.038687021128395636,0.3573736552898382,0.05453675159627258,0.6334706376600299,0.002904176803473302,1
12011,"Broward County, Florida",1934551,1918092,62334,32130,291484,123907,39193,16706,854965,1918498,732464,732464,0.12375162400969296,0.059937806376673355,36451,0.07694221441104321,0.40785805270077397,0.3557011105717778,0.024467578282593987,0.043095633369011996,0.0682668363223312,0.008298049521568571,0.658361552629008,0.002495669537789389,1
12031,"Duval County, Florida",983153,961709,25586,14030,141783,51507,11917,7282,429495,961925,387008,387008,0.14462690897142483,0.05108627722681341,34077,0.07420109604640401,0.42800414609788767,0.18803478503824259,0.04174337916157705,0.022671365966595004,0.0736832313543906,0.02159175631870116,0.4915369225339291,0.001907129409156052,1
12057,"Hillsborough County, Florida",1444359,1423727,37740,19233,224209,90979,24844,13425,595841,1423613,547578,547578,0.14025301198895576,0.05026531134126071,35954,0.08882830007148002,0.39012890261236094,0.17368895393234102,0.06529653775288649,0.029267063322485562,0.0604370518903243,0.014363465038816527,0.5299111924389989,0.0028593999137333584,1
12073,"Leon County, Florida",290965,277688,9860,2507,46511,22002,7147,6418,132398,276587,117677,117677,0.19306559880153265,0.06194012036234342,33764,0.053642065193712285,0.41723399741567185,0.19953473617426246,0.07609902128444215,0.021023649481207034,0.06748982383983276,0.04941487807811936,0.44456206072895366,0.0018009038887838744,1
12086,"Miami-Dade County, Florida",2690113,2655101,71662,81040,380441,144711,60800,22718,1064991,2648569,936351,936351,0.15683508838270183,0.05113400002140633,31813,0.13283207235683936,0.4274039900154919,0.3902079923680106,0.01532261383411193,0.06445019015305158,0.09692198758798784,0.015443217441051732,0.8674137480470151,0.002254552132196677,1
12095,"Orange County, Florida",1409949,1377713,43157,25225,219794,87010,22186,11650,554517,1379273,475292,475292,0.13898758304523512,0.056792550657581334,33498,0.07889060544635507,0.3703329389893527,0.22505531841223983,0.03086843576289828,0.03590003618828005,0.050806662009880245,0.021756815317433467,0.6175932604654495,0.002366752272599931,1
12097,"Osceola County, Florida",380331,377685,11567,6886,41508,14595,3393,1767,150567,378690,110156,110156,0.13514966175516635,0.059850154709053846,25491,0.10657412808577671,0.38150046492640555,0.13383410707525553,0.06839103224273152,0.0380732778968009,0.04643414793565489,0.0043146627542850835,0.703332097567645,0.002926398321462095,1
12099,"Palm Beach County, Florida",1481233,1460990,44938,22016,250300,105878,38450,18229,702877,1460570,581119,581119,0.11599463377572741,0.06112616435971098,43733,0.08908058401493246,0.3608932385263711,0.24879459706321305,0.030703081673593185,0.03213971665011813,0.05952481333427405,0.013949864741063694,0.4748233397446586,0.0024641633017897925,1
13063,"Clayton County, Georgia",294335,288273,10210,4960,24563,8995,2374,1209,112772,289502,103399,103399,0.16435462218105754,0.06964291804508714,23532,0.11927969331968369,0.577043817764529,0.12176781470577804,0.028828816381233982,0.03766960995754311,0.07251520807744756,0.01642006557154263,0.9088351708087723,0.001314828341855369,1
